Ethylene_concppm,Temperature,Time(days),Condition_ripe
0.054,22,12,0
0.039,18,13,-1
0.044,20,14,-1
0.07,25,16,0
0.037,21,20,-1
0.063,25,23,0
0.072,23,26,0
0.087,23,27,0
0.035,23,28,-1
0.03,20,30,-1
0.042,20,33,-1
0.72,20,35,0
0.036,23,36,-1
0.062,20,38,0
0.095,19,40,0
0.093,22,42,0
0.038,18,43,-1
0.053,18,44,0
0.768,19,45,0
0.768,20,46,0
0.978,16,47,0
0.971,17,48,0
0.849,25,49,0
0.926,25,53,0
0.785,19,54,0
0.751,23,56,0
0.842,17,59,0
1.686,20,61,1
2.44,25,62,1
1.919,23,64,1
2.053,20,67,1
3.235,20,68,1
3.104,23,69,1
2.212,19,71,1
2.548,20,72,1
2.393,16,73,1
2.575,21,75,1
2.114,25,78,1
2.544,25,79,1
1.749,22,80,1
3.111,20,82,1
2.525,25,83,1
2.313,16,84,1
2.082,21,86,1
2.315,19,89,1
2.284,18,91,1
2.76,24,93,1
2.978,25,95,1
2.213,19,98,1
3.242,19,99,1
